"State","Count","Name","Id","Chief Functionary","Chairman","Promoter Name 1","Promoter Name 2","Promoter Name 3","Promoter Name 4","Secretary","Treasurer","Umbrella-Parent Organisation","Registered","Type","Registration No","Date of Registration","City of Registration","Registration Certificate URL","FCRA Registration No","Key Issues","Operational Area-States","Operational Area-District","Major Activities-Achievements","City","Mobile Number","Email","Fax Number","Address","Phone number","Sectors Working In",,,,,"Website URL"
"Andaman and Nicobar Island",14,"SHINE INDIA FOUNDATION","AN/2009/0014844","Rev Moses Massey","Mrs Elizabeth","Mrs Shobha Raphael Ekka","Promoter Name 2","Mrs Julie Ashish",,"Raphael Ekka","Suresh Rao","Shine India Foundation","Sub-Registrar","Trust","1/140/183/200/23/09",01/09/2009 00:00,"Port Blair","http://ngo.india.gov.in/ngo/shineindiafoundation.jpg",,"Youth Affairs","Andaman and Nicobar Island",,"Children Welfare Schemes Women Development & Empowerment Handicapped Child Development Family Welfare Programmes Psycho-Social Programmes Free Medical Camps Self Help Groups Awareness Camps for Woman/youths/Child Counsellings","Port Blair",9474212481,"shineindiafoundation@yahoo.com","03192-212314","PO Box 825, Port Blair- 744 104","03192-212314","Youth Affairs",,,,,
"Andaman and Nicobar Island",14,"SNAHALAYA ASHRAM","AN/2009/0021562","Dr Madhu Krishan","Dr Madhu Krishan",,,,,"Subramanian","Jogin","Karwani Islami","Registrar of Societies","Society",896,02/07/1996 00:00,"Port Blair","http://ngo.india.gov.in/ngo/Snahalayaashram.pdf",240020015,"Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Agriculture, Art & Culture, Children, Civic Issues, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Legal Awareness & Aid, Labour & Employment, Land Resources, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises, New & Renewable Energy, Nutrition, Right to Information & Advocacy","Andaman and Nicobar Island, Andhra Pradesh, Tamil Nadu",,"LT. GOVERNORâ€™S COMMENDATION CERTIFICATE AWARD For The Best Relief & Rehabilitation Works Done By dr. Madhu Krishan,Chairman ,Snahalaya ashram, during The Tsunami Disaster. NATIONAL LEVEL AWARDS (1): Bharath Excellence Award & Gold Medal -2006 (2): Rashtriya Jewel Award & Gold Medal-2006 (3): Human Excellence Awards & Gold Medal-2006 (4):Andaman & Nicobar Administration Nominated The name For Durgabai Deshmukh Award & Swami Vivekananda Award in the field of Social Work & Consumer Protection Awareness Work. INTERNATIONAL AWARDS (1):Best Enviornmental Engineering Scientist Award-Glory Of India International Award & Gold Medal- 1997 (2): Rising Personality Of India Award & Gold Medal- 2007 (3):Lifetime Achievement Award & Gold Medal- 2007 (4): Indian Golden Achiever Award & Gold Medal-2007 (5): Arch Of Excellence Award & Gold Medal-2007 (6):International Excellence Award For Best Construction Engg Management Award- 2008 (7): International Human Excellence Award & Gold Medal-2008","Port Blair",9176477757,"snahalayaashram@rediffmail.com","03192-242731","28-VIP Road, Pankaj Deep Bhawan,Port Blair, Andaman & Nicobar Islands, Pin- 744103, Ashram Address- Prothra Pur Junction, Port Blair, Andaman & Nicobar Islands- Pin- 744103","03192-230751","Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Agriculture, Art & Culture, Children, Civic Issues, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Legal Awareness & Aid, Labour & Employment, Land Resources, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises, New & Renewable Energy, Nutrition, Right to Information & Advocacy",,,,,"http://www.snahalayaashram.org"
"Andaman and Nicobar Island",14,"UNNATI","AN/2009/0007782","Shri C Mohammed","Shri C Mohammed",,,,,"Shri Mohammed Ali","Shri P G Paul","Karwani Islami","Registrar of Societies","Society",1022,07/03/2000 00:00,"Port Blair","http://ngo.india.gov.in/ngo/unnatiandaman.jpg","Prior permission obtained","Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Agriculture, Children, Civic Issues, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Legal Awareness & Aid, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises, Nutrition, Panchayati Raj, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Tribal Affairs, Tourism, Urban Development & Poverty Alleviation, Vocational Training, Women's Development & Empowerment","Andaman and Nicobar Island","Andaman, Nicobar","UNNATI was formed by Shri. C. Mohammed a retired State Civil Service Officer of A&N Islands in 2000 which is working in the field of Rural Development, Social Welfare and self employment in partnership with Rajiv Gandhi Foundation, New Delhi, UNICEF, Rashtriya Mahila Kosh, New Delhi, NABARD, AWAKE, Care India, Centre for Processed Food, Food and Extension Unit, Ministry of HRD, Agriculture Technical Management Agency (ATMA), Departments of Social Welfare, Rural Development, Industries, Animal Husbandry, Agriculture etc. of A&N Administration and carried out various promotional, awareness programmes. The main achievements of UNNATI are as under:- All round development of children in partnership with UNICEF and Social Welfare Department and reduced the mal-nutrition status from 47% to 27%. which was a record achievement appreciated by UNICEF. The capacity and skill of all anganwadi teachers of Andaman and Nicobar Islands (561) were improved by arranging quality training. Organised 27 motivational programme for self-employment, 261 Self Help Groups were formed and were given training for capacity building in partnership with Rashtriya Mahila Kosh, New Delhi and NABARD. 27 Self Help Groups were arranged loan from different financial institutions. 14 training programme for capacity building and skill-up-gradation in food processing was organised in partnership with Rajiv Gandhi Foundation, New Delhi. 30 Farmers Interest Groups were also formed in partnership with ATMA and they were assisted to undertake income generation activities besides training in food processing. Unemployed youth cooperative societies were also formed by UNNATI in association with A & N State Cooperative Union and they were assisted to get work from Govt. Departments. Working for the welfare of tribal youth in association with Nicobari Youth Tribal Council and organised 5 workshops in Nancowry for implementation of NREGA and advocacy for tobacco control. Organized 30 NREGA workshops in different Panchayats for general awareness of NREGA in association with DRDA and District Administration. 18 training programmes were conducted in Animal Husbandry, Dairy Farming and fisheries related activities in association with A & N Administration. Organized following health related meetings/awareness programmes in association with health department & PRIs: 1. Mothers meeting - 710 2. Awareness meeting for child care and nutrition - 522 3. Sanitation meeting - 399 Working in the field of adolescents and organised 5 workshops. UNNATI has been nominated by Rajiv Gandhi National Institute of Youth Development, Sriperumbudur. 19 widows were assisted to avail widow pension. UNNATI is also taking up various civic issues and welfare issues with the Administration. UNNATI is a member of Confederation of NGOs, AWAKE and Advocacy Forum for Tobacco Control (AFTC). Because of active participation and involvement of UNNATI in Rural Development works, the chief functionary of UNNATI was also nominated as expert Members of U.T Level NREGA committee.","Port Blair",9434283062,"unnatiandaman@yahoo.co.in","03192-231616","MB-11, Foreshore Road, Haddo Post, Port Blair - 744 102","03192-231616","Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Agriculture, Children, Civic Issues, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Legal Awareness & Aid, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises, Nutrition, Panchayati Raj, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Tribal Affairs, Tourism, Urban Development & Poverty Alleviation, Vocational Training, Women's Development & Empowerment",,,,,"http://www.andamanunnati.org"
"Andaman and Nicobar Island",14,"VISION ANDAMAN","AN/2009/0000406","KESHAB BARIKDAR PRESIDENT",,"N.SHOBA",,,,,,,"Registrar of Societies","Society","RCS1100",20/05/2009,,,,"Any Other",,,"Environmental Programme. Community development services. health awarness programme.","PORTBLAIR",9933259513,"visionandaman@gmail.com",,"KESHAB BARIKDAR PRESIDENT. VISION ANDAMAN SOCIETY. GHOALGHAR. PORTBLAIR. A&N ISLANDS, PIN-744102 CONTACT. 09933259513,09933240335","03192-211595","Any Other",,,,,
"Andaman and Nicobar Island",14,"VISION ANDAMAN","AN/2009/0004120","KESHAB BARIKDAR","KESHAB BARIKDAR","Chandra Shekar Vice President","Promoter Name 2",,,"SHOBHA N",,"Karwani Islami","Registrar of Cooperative Societies","Cooperative Society",1100,20/05/2009,"PORTBLAIR AN ISLANDS","http://ngo.india.gov.in/ngo/barikdar.consultancy.pdf",,"Rural Development & Poverty Alleviation","Andaman and Nicobar Island","Andaman","Environmental Education Programmes, Awarness Programmes, Education related Programmes, Pollution and cliamte change awrness, - Project with BOTANICAL Survey of India, Department of Science and Technology,","pORT BLAIR",9933259513,"visionandaman@gmail.com",,"GOALGHAR, cHURCH ROAD, PORTBLAIR. 744102","3192-240172","Rural Development & Poverty Alleviation",,,,,
"Andhra Pradesh",2223,"A G R A","AP/2009/0022984","MURALI MOHAN B","MURALI MOHAN B","CHIDAMBARAPPA K","Promoter Name 2","SREENIVASULU NC",,"INDIRAMMA M","SETHURAM A","Karwani Islami","Registrar of Societies","Society","987/1995",09/02/1995 00:00,"ANANTAPUR","http://ngo.india.gov.in/ngo/indiramma.jpg",10120230,"Aged/Elderly, Agriculture, Art & Culture, Children, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Legal Awareness & Aid, Labour & Employment, Nutrition, Panchayati Raj, Rural Development & Poverty Alleviation, Science & Technology, Sports, Tribal Affairs, Tourism","Andhra Pradesh",,"CHILD RIGHTS MEDICAL AND HEALTH CAMPS AWARENESS ON ROAD SAFETY CONDUCTING OF CULTURAL ACTIVITIES EDUCATIONAL SUPPORT FOR SCHOOL CHILDREN","ANANTAPUR",9848324044,"agraindiaatp@gmail.com",,"13-2-264 RAMACHANDRA NAGAR ANANTAPUR - 515 001 ANDHRA PRADESH","08554-201244","Aged/Elderly, Agriculture, Art & Culture, Children, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Legal Awareness & Aid, Labour & Employment, Nutrition, Panchayati Raj, Rural Development & Poverty Alleviation, Science & Technology, Sports, Tribal Affairs, Tourism",,,,,
"Andhra Pradesh",2223,"A H M VIDYALAYA","AP/2010/0035251","PRESIDENT","G VISWANADHAN","G VISWANADHAM","Promoter Name 2","M SITALAKSHMI","M V TIRUVENGALACHARY","M V TIRUVENGALACHARY","M SITALAKSHMI","Dakshin Bharat Hindi Prachar Sabha Madras","Registrar of Societies","Society","21 OF 1968",07/06/1968 00:00,"VISAKHAPATNAM","http://ngo.india.gov.in/ngo/9136e3f1a2974296585ca757c4758f55.IMG_0001.pdf",,"Education & Literacy","Andhra Pradesh","Visakhapatnam","SENDING STUDENTS IN LARGE NUMBER FOR HINDI EXAMS IN EVERY 6 MONTHS AND GIVING TRAINING IN HINDI TYPE WRITING AND OTHER DEVELOPMENTAL ACTIVITIES","VISAKHAPATNAM",9010181119,"sitababjivasu@yahoo.co.in","0891-2718765","A H M VIDYALAYA, 13-937,SECTOR-2, HINDI COLLEGE ROAD, ARILOVA, VISAKHAPATNAM-530040","0891-2710979","Education & Literacy",,,,,
"Andhra Pradesh",2223,"A M M A NGO","AP/2009/0004888","Ankari Kumar","Ankari Kumar","Baskara Thirupathi","Promoter Name 2","Itha Radika","Chittimalla Srilatha","John Timothy Naikar","Ranavena Suhasini","NABARD","Registrar of Societies","Society",9954,24/12/1999,"Manthani","http://ngo.india.gov.in/ngo/2631295dc8a8df2904404611ac6962fa.Registration"" Certificate.pdf",10240045,"Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Agriculture, Art & Culture, Biotechnology, Children, Civic Issues, Differently Abled, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Labour & Employment, Land Resources, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises","Andhra Pradesh",,"Eradication of Child Labur 145 nombers, Garden Special School for Mentally Retrid Childrens, Rajeev Gandhi National Creche Units (Two),Condensed Course for 10th Fail Girls, Micro Insurence Programme for Rural Poor, Micro Credit Programme for Women Empoverment,","Manthani of Karimnag",9440449386,"ammaorg@gmail.com",,"AMMA NGO, 2-15/7,Near Bus Depot, Manthani-505184, District Karimnagar, A.P, India","08729-279365","Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Agriculture, Art & Culture, Biotechnology, Children, Civic Issues, Differently Abled, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Labour & Employment, Land Resources, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises",,,,,
"Andhra Pradesh",2223,"A R EDUCATIONAL ACADEMY","AP/2011/0042362","K Santoshi Sharma","K Santoshi Sharma",,,,,"A Raj Kumar","V Leela","Karwani Islami","Registrar of Societies","Society",781,17/02/1997,"Hyderabad","http://ngo.india.gov.in/ngo/211a0a4bac6b39aad42fd860ed157db4.Ar"" 001.jpg",,"Animal Husbandry, Dairying & Fisheries, Agriculture, Biotechnology, Civic Issues, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, HIV/AIDS, Housing, Legal Awareness & Aid, Labour & Employment, Micro Finance (SHGs), Minority Issues, Nutrition, Panchayati Raj, Rural Development & Poverty Alleviation, Tribal Affairs, Tourism, Urban Development & Poverty Alleviation, Vocational Training","Andhra Pradesh","Hyderabad, Rangareddy","Community Health, RCH Awareness, Women and Child Welfare, Domestic violance","Hyderabad",9397942777,"wiwellindia@gmail.com",,"H.No.8-1-18/37/1, Second floor, Kranthi Nagar, R.R.District. 500 079.","0000-000000","Animal Husbandry, Dairying & Fisheries, Agriculture, Biotechnology, Civic Issues, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, HIV/AIDS, Housing, Legal Awareness & Aid, Labour & Employment, Micro Finance (SHGs), Minority Issues, Nutrition, Panchayati Raj, Rural Development & Poverty Alleviation, Tribal Affairs, Tourism, Urban Development & Poverty Alleviation, Vocational Training",,,,,
"Andhra Pradesh",2223,"AADARANA","AP/2011/0039991","vakiti santosh reddy","vakiti santosh reddy","j muralidhar rao","Promoter Name 2","lachu ram","dm koteshwar rao","dm madhava rao","dr j narshima rao","Karwani Islami","Registrar of Societies","Society","1352/2003",24/09/2003,"hyderabad","http://ngo.india.gov.in/ngo/5c96d9dce9feec578bb8c395cbdb49a0.Aadarana.pdf","applied","Children","Andhra Pradesh","Hyderabad","started in year 2003 having more than 100 students both boys and girls all are studying private schoola and colleges we are providing quality education,food and medical facilities","hyderabad",9000006954,"rasanmc@gmail.com",,"addarana, hno 16-2-738/4/5/12 sbh bank colony tv tower malakpet hyderabad-500036","040-24151497","Children",,,,,"http://www.aadarana.org"
